id,score,token,language,error
171592,0.445530,No,Danish,
163013,0.633410,Yes,Danish,
184695,0.103749,No,Danish,
31804,0.272025,No,Danish,
164252,0.294215,No,Danish,
156303,0.752013,Ja,Danish,
2687,0.053403,No,Danish,
28351,0.079210,No,Danish,
23669,0.005060,No,Danish,
37252,0.132964,No,Danish,
37627,0.108189,No,Danish,
177792,0.281406,No,Danish,
173640,0.359364,No,Danish,
34652,0.002845,No,Danish,
37271,0.046034,No,Danish,
170262,0.060975,No,Danish,
182787,0.025179,No,Danish,
48925,0.136608,No,Danish,
50334,0.061876,No,Danish,
37304,0.230920,No,Danish,
8859,0.268941,No,Danish,
36840,0.334589,No,Danish,
36113,0.573678,Yes,Danish,
152985,0.265880,No,Danish,
60315,0.069542,No,Danish,
42795,0.294215,No,Danish,
27838,0.014957,No,Danish,
34968,0.092688,No,Danish,
53148,0.132964,No,Danish,
168018,0.464902,No,Danish,
43890,0.009860,No,Danish,
47410,0.175538,No,Danish,
163232,0.199308,No,Danish,
169835,0.070560,No,Danish,
175387,0.359364,No,Danish,
49535,0.029760,No,Danish,
150934,0.256832,No,Danish,
36337,0.021948,No,Danish,
162057,0.384912,No,Danish,
176119,0.018264,No,Danish,
29795,0.100879,No,Danish,
64144,0.049589,No,Danish,
46604,0.449393,No,Danish,
37722,0.327668,No,Danish,
40456,0.008316,No,Danish,
169335,0.020964,No,Danish,
22549,0.075858,No,Danish,
32022,0.005555,No,Danish,
54360,0.247987,No,Danish,
150457,0.092688,No,Danish,
169988,0.096706,No,Danish,
8974,0.177811,No,Danish,
423,0.338077,No,Danish,
47545,0.134776,No,Danish,
169711,0.164516,No,Danish,
61209,0.166675,No,Danish,
64899,0.140336,No,Danish,
159977,0.345105,No,Danish,
6184,0.373876,No,Danish,
176830,0.214691,No,Danish,
183927,0.175538,No,Danish,
172782,0.338077,No,Danish,
66061,0.012432,No,Danish,
18713,0.042722,No,Danish,
51879,0.106691,No,Danish,
8658,0.028871,No,Danish,
29430,0.086323,No,Danish,
37659,0.055823,No,Danish,
59027,0.154058,No,Danish,
25175,0.094010,No,Danish,
22584,0.024054,No,Danish,
36673,0.032101,No,Danish,
31201,0.008316,No,Danish,
178403,0.362969,No,Danish,
34879,0.449393,No,Danish,
173267,0.023331,No,Danish,
11387,0.164516,No,Danish,
152684,0.086323,No,Danish,
185715,0.009708,No,Danish,
48613,0.437823,No,Danish,
10135,0.030676,No,Danish,
3972,0.247987,No,Danish,
149830,0.096706,No,Danish,
18609,0.108189,No,Danish,
23751,0.191933,No,Danish,
2821,0.041462,No,Danish,
159908,0.059210,No,Danish,
28254,0.042088,No,Danish,
146821,0.117572,No,Danish,
152699,0.278257,No,Danish,
167383,0.187133,No,Danish,
5469,0.068537,No,Danish,
183692,0.120853,No,Danish,
166864,0.201813,No,Danish,
178207,0.075858,No,Danish,
177386,0.050331,No,Danish,
35999,0.131173,No,Danish,
42764,0.496094,No,Danish,
66266,0.433981,No,Danish,
59764,0.112795,No,Danish,
6206,0.103749,No,Danish,
50228,0.127653,No,Danish,
49533,0.024798,No,Danish,
188256,0.366590,No,Danish,
177438,0.206894,No,Danish,
3487,0.284576,No,Danish,
18747,0.043366,No,Danish,
40495,0.004265,No,Danish,
10791,0.445530,No,Danish,
154041,0.362969,No,Danish,
174039,0.046725,No,Danish,
170191,0.287768,No,Danish,
2419,0.492188,No,Danish,
24661,0.212069,No,Danish,
182889,0.345105,No,Danish,
46872,0.217338,No,Danish,
53873,0.204342,No,Danish,
152053,0.307358,No,Danish,
3326,0.550607,Yes,Danish,
46204,0.054199,No,Danish,
157715,0.414899,No,Danish,
175742,0.384912,No,Danish,
56578,0.081520,No,Danish,
167515,0.102305,No,Danish,
183971,0.152032,No,Danish,
181639,0.090093,No,Danish,
149036,0.233706,No,Danish,
160627,0.334589,No,Danish,
60581,0.039639,No,Danish,
9701,0.236516,No,Danish,
153552,0.573678,Yes,Danish,
4760,0.146087,No,Danish,
136790,0.160266,No,Danish,
26537,0.064653,No,Danish,
11096,0.010987,No,Danish,
