id,score,token,language,error
6751,0.152032,No,Danish,
169111,0.268941,No,Danish,
180106,0.106691,No,Danish,
6195,0.461017,No,Danish,
30844,0.063715,No,Danish,
153035,0.117572,No,Danish,
25575,0.022286,No,Danish,
52084,0.461017,No,Danish,
61691,0.013849,No,Danish,
185550,0.236516,No,Danish,
7584,0.287768,No,Danish,
31156,0.146087,No,Danish,
26013,0.069542,No,Danish,
58182,0.094010,No,Danish,
272,0.037327,No,Danish,
152551,0.040238,No,Danish,
168776,0.265880,No,Danish,
153669,0.164516,No,Danish,
152428,0.010328,No,Danish,
63073,0.154058,No,Danish,
4076,0.096706,No,Danish,
164213,0.095349,No,Danish,
31313,0.014504,No,Danish,
41633,0.626124,Yes,Danish,
29859,0.162380,No,Danish,
49355,0.262842,No,Danish,
151709,0.184768,No,Danish,
153231,0.672332,Yes,Danish,
166060,0.370225,No,Danish,
177896,0.022977,No,Danish,
151040,0.230920,No,Danish,
150214,0.554470,Yes,Danish,
21907,0.900530,Yes,Danish,
20907,0.039048,No,Danish,
20693,0.500000,No,Danish,
158117,0.080357,No,Danish,
52984,0.392337,No,Danish,
36390,0.060975,No,Danish,
43964,0.019419,No,Danish,
59441,0.247987,No,Danish,
61396,0.239349,No,Danish,
58086,0.294215,No,Danish,
48951,0.278257,No,Danish,
23516,0.290981,No,Danish,
53624,0.310694,No,Danish,
27711,0.148047,No,Danish,
158469,0.056652,No,Danish,
60729,0.637031,Yes,Danish,
17651,0.268941,No,Danish,
50324,0.087564,No,Danish,
66577,0.148047,No,Danish,
152170,0.060087,No,Danish,
178123,0.629775,Yes,Danish,
158300,0.152032,No,Danish,
24654,0.581303,Yes,Danish,
7744,0.199308,No,Danish,
29102,0.013637,No,Danish,
153345,0.345105,No,Danish,
51075,0.031619,No,Danish,
179650,0.075858,No,Danish,
64657,0.396068,No,Danish,
56740,0.070560,No,Danish,
37288,0.044681,No,Danish,
23119,0.175538,No,Danish,
61483,0.177811,No,Danish,
32372,0.307358,No,Danish,
165730,0.055823,No,Danish,
46193,0.039048,No,Danish,
61068,0.206894,No,Danish,
30388,0.194368,No,Danish,
187170,0.099470,No,Danish,
172332,0.242206,No,Danish,
158006,0.727975,Yes,Danish,
155712,0.196826,No,Danish,
58450,0.300746,No,Danish,
146721,0.138462,No,Danish,
157878,0.310694,No,Danish,
169745,0.327668,No,Danish,
6083,0.103749,No,Danish,
44427,0.080357,No,Danish,
65584,0.222700,No,Danish,
16642,0.010014,No,Danish,
17265,0.080357,No,Danish,
171433,0.377541,No,Danish,
157682,0.184768,No,Danish,
163573,0.558327,Yes,Danish,
57847,0.100879,No,Danish,
149006,0.099470,No,Danish,
49883,0.154058,No,Danish,
165242,0.317426,No,Danish,
57856,0.345105,No,Danish,
