id,score,p_yes,p_no,language,label
101499,0.02,0.02,0.98,Dutch,0
103402,0.03,0.03,0.97,Dutch,0
99987,0.03,0.03,0.97,Dutch,0
103818,0.03,0.03,0.97,Dutch,0
91385,0.02,0.02,0.98,Dutch,0
98290,0.25,0.25,0.75,Dutch,0
103463,0.05,0.05,0.95,Dutch,0
90836,0.04,0.04,0.96,Dutch,0
104472,0.03,0.03,0.97,Dutch,0
97271,0.82,0.82,0.18,Dutch,1
93804,0.02,0.02,0.98,Dutch,0
104701,0.1,0.1,0.9,Dutch,0
95035,0.02,0.02,0.98,Dutch,0
98124,0.02,0.02,0.98,Dutch,0
95532,0.02,0.02,0.98,Dutch,0
95763,0.03,0.03,0.97,Dutch,0
92769,0.02,0.02,0.98,Dutch,0
97524,0.02,0.02,0.98,Dutch,0
91743,0.92,0.92,0.08,Dutch,1
94127,0.05,0.05,0.95,Dutch,0
103143,0.03,0.03,0.97,Dutch,0
91766,0.01,0.01,0.99,Dutch,0
98187,0.02,0.02,0.98,Dutch,0
96729,0.01,0.01,0.99,Dutch,0
104801,0.05,0.05,0.95,Dutch,0
94848,0.15,0.15,0.85,Dutch,0
102843,0.03,0.03,0.97,Dutch,0
103870,0.02,0.02,0.98,Dutch,0
104083,0.02,0.02,0.98,Dutch,0
104182,0.02,0.02,0.98,Dutch,0
101810,0.01,0.01,0.99,Dutch,0
91111,0.01,0.01,0.99,Dutch,0
93886,0.88,0.88,0.12,Dutch,1
97249,0.08,0.08,0.92,Dutch,0
102967,0.03,0.03,0.97,Dutch,0
96029,0.01,0.01,0.99,Dutch,0
92882,0.03,0.03,0.97,Dutch,0
102962,0.01,0.01,0.99,Dutch,0
97782,0.01,0.01,0.99,Dutch,0
100585,0.06,0.06,0.94,Dutch,0
97051,0.02,0.02,0.98,Dutch,0
98097,0.04,0.04,0.96,Dutch,0
97103,0.01,0.01,0.99,Dutch,0
92906,0.92,0.92,0.08,Dutch,1
90611,0.55,0.55,0.45,Dutch,0
93251,0.01,0.01,0.99,Dutch,0
92286,0.02,0.02,0.98,Dutch,0
103616,0.01,0.01,0.99,Dutch,0
104377,0.65,0.65,0.35,Dutch,0
92331,0.01,0.01,0.99,Dutch,0
100604,0.02,0.02,0.98,Dutch,0
90321,0.02,0.02,0.98,Dutch,0
90110,0.03,0.03,0.97,Dutch,0
95549,0.04,0.04,0.96,Dutch,0
102460,0.02,0.02,0.98,Dutch,0
101756,0.1,0.1,0.9,Dutch,0
101658,0.01,0.01,0.99,Dutch,0
98072,0.02,0.02,0.98,Dutch,0
101681,0.03,0.03,0.97,Dutch,0
95697,0.03,0.03,0.97,Dutch,0
99839,0.05,0.05,0.95,Dutch,0
103063,0.02,0.02,0.98,Dutch,0
93817,0.02,0.02,0.98,Dutch,0
101487,0.08,0.08,0.92,Dutch,0
104910,0.02,0.02,0.98,Dutch,0
100615,0.85,0.85,0.15,Dutch,0
102515,0.01,0.01,0.99,Dutch,0
104197,0.02,0.02,0.98,Dutch,0
102747,0.9,0.9,0.1,Dutch,1
96452,0.02,0.02,0.98,Dutch,0
101857,0.15,0.15,0.85,Dutch,0
103255,0.01,0.01,0.99,Dutch,0
