id,score,token,language,error
0,0.999896,Yes,Danish,
1,0.0,No,Danish,
2,0.0,No,Danish,
3,1e-06,No,Danish,
4,0.028872,No,Danish,
5,0.002112,No,Danish,
6,1e-06,No,Danish,
7,0.000265,No,Danish,
8,6e-06,No,Danish,
9,0.000473,No,Danish,
10,8e-06,No,Danish,
11,0.001576,No,Danish,
12,6e-06,No,Danish,
13,1e-06,No,Danish,
14,0.0,No,Danish,
15,0.0,No,Danish,
16,3e-06,No,Danish,
17,0.001246,No,Danish,
18,0.009577,No,Danish,
19,0.004613,No,Danish,
20,0.250913,No,Danish,
21,2e-06,No,Danish,
22,0.022618,No,Danish,
23,1.0,Yes,Danish,
24,5e-06,No,Danish,
25,2e-05,No,Danish,
26,0.0,No,Danish,
27,0.015184,No,Danish,
28,0.0,No,Danish,
29,0.665465,Yes,Danish,
30,0.0,No,Danish,
31,1e-06,No,Danish,
32,2e-06,No,Danish,
33,0.857738,Yes,Danish,
34,0.068584,No,Danish,
35,1e-06,No,Danish,
36,1e-06,No,Danish,
37,0.0,No,Danish,
38,0.0,No,Danish,
39,0.998296,Yes,Danish,
40,0.000151,No,Danish,
41,8e-06,No,Danish,
42,0.000536,No,Danish,
43,0.000188,No,Danish,
44,0.0,No,Danish,
45,6e-06,No,Danish,
46,0.0,No,Danish,
47,0.0,No,Danish,
48,0.006686,No,Danish,
49,0.000112,No,Danish,
50,0.00052,No,Danish,
51,0.999869,Yes,Danish,
52,0.001153,No,Danish,
53,0.0,No,Danish,
54,0.0,No,Danish,
55,6.1e-05,No,Danish,
56,0.00872,No,Danish,
57,0.156089,No,Danish,
58,0.999964,Yes,Danish,
59,3e-06,No,Danish,
60,0.0,No,Danish,
61,0.003537,No,Danish,
62,6e-06,No,Danish,
63,0.0,No,Danish,
64,0.000123,No,Danish,
65,0.0,No,Danish,
66,1e-06,No,Danish,
67,0.0,No,Danish,
68,8.1e-05,No,Danish,
69,0.0,No,Danish,
70,1.2e-05,No,Danish,
71,1e-06,No,Danish,
72,0.0,No,Danish,
73,0.0,No,Danish,
74,0.07474,No,Danish,
75,0.000721,No,Danish,
76,0.000792,No,Danish,
77,0.191971,No,Danish,
78,0.035652,No,Danish,
79,5e-06,No,Danish,
80,0.046681,No,Danish,
81,0.880797,Yes,Danish,
82,0.999648,Yes,Danish,
83,0.0,No,Danish,
84,0.000545,No,Danish,
85,0.0,No,Danish,
86,0.938993,Yes,Danish,
87,1e-06,No,Danish,
88,0.999755,Yes,Danish,
89,4e-06,No,Danish,
90,3.8e-05,No,Danish,
91,5.5e-05,No,Danish,
92,9e-06,No,Danish,
93,4.6e-05,No,Danish,
94,0.999999,Yes,Danish,
95,0.0,No,Danish,
96,0.000357,No,Danish,
97,0.99999,Yes,Danish,
98,0.999986,Yes,Danish,
99,0.457137,No,Danish,
100,0.001651,No,Danish,
101,0.001033,No,Danish,
102,0.0,No,Danish,
103,0.002469,No,Danish,
104,1.0,Yes,Danish,
105,0.000898,No,Danish,
106,6e-06,No,Danish,
107,0.0,No,Danish,
108,0.001758,No,Danish,
109,0.087559,No,Danish,
110,0.997372,Yes,Danish,
111,0.980877,Yes,Danish,
112,0.975585,Yes,Danish,
113,0.247987,No,Danish,
114,0.908608,Yes,Danish,
115,0.021624,No,Danish,
116,0.0,No,Danish,
117,1e-06,No,Danish,
118,0.999941,Yes,Danish,
119,0.000169,No,Danish,
120,0.001153,No,Danish,
121,4.8e-05,No,Danish,
122,0.000617,No,Danish,
123,8.8e-05,No,Danish,
124,1e-05,No,Danish,
125,1.0,Yes,Danish,
126,0.999455,Yes,Danish,
127,0.0,No,Danish,
128,0.204382,No,Danish,
129,0.000151,No,Danish,
130,0.0,No,Danish,
131,8e-06,No,Danish,
132,0.0,No,Danish,
133,0.0,No,Danish,
134,0.0,No,Danish,
135,0.028872,No,Danish,
136,0.9998,Yes,Danish,
137,0.0,No,Danish,
138,1e-06,No,Danish,
139,0.0,No,Danish,
140,2e-06,No,Danish,
141,3e-06,No,Danish,
142,0.997245,Yes,Danish,
143,1.4e-05,No,Danish,
144,0.999993,Yes,Danish,
145,0.022267,No,Danish,
146,0.999549,Yes,Danish,
147,0.0,No,Danish,
148,1e-06,No,Danish,
149,1e-06,No,Danish,
150,0.997113,Yes,Danish,
151,3.8e-05,No,Danish,
152,0.985955,Yes,Danish,
153,7e-06,No,Danish,
154,7.8e-05,No,Danish,
155,0.000386,No,Danish,
156,0.307358,No,Danish,
157,0.0,No,Danish,
158,2e-05,No,Danish,
159,9e-06,No,Danish,
160,0.001814,No,Danish,
161,2e-06,No,Danish,
162,0.0,No,Danish,
163,6.2e-05,No,Danish,
164,0.05753,No,Danish,
165,0.0,No,Danish,
166,0.036784,No,Danish,
167,0.11132,No,Danish,
168,1.0,Yes,Danish,
169,0.000197,No,Danish,
170,1.3e-05,No,Danish,
171,2e-06,No,Danish,
172,0.999989,Yes,Danish,
173,2.4e-05,No,Danish,
174,2e-06,No,Danish,
175,0.000768,No,Danish,
176,8.4e-05,No,Danish,
177,0.997888,Yes,Danish,
178,8e-06,No,Danish,
179,0.00078,No,Danish,
180,5e-06,No,Danish,
181,1e-06,No,Danish,
182,0.99978,Yes,Danish,
183,0.027984,No,Danish,
184,0.171113,No,Danish,
185,0.00139,No,Danish,
186,2.6e-05,No,Danish,
187,3e-06,No,Danish,
188,0.000444,No,Danish,
189,3.4e-05,No,Danish,
190,1e-06,No,Danish,
191,0.129389,No,Danish,
192,0.999999,Yes,Danish,
193,0.059239,No,Danish,
194,0.999987,Yes,Danish,
195,0.0,No,Danish,
196,0.999965,Yes,Danish,
197,0.033103,No,Danish,
198,0.999924,Yes,Danish,
199,0.994368,Yes,Danish,
200,0.0,No,Danish,
201,0.0,No,Danish,
202,5e-06,No,Danish,
203,0.000571,No,Danish,
204,0.259779,No,Danish,
205,1e-06,No,Danish,
206,0.0,No,Danish,
207,0.0,No,Danish,
208,1e-05,No,Danish,
209,0.007117,No,Danish,
210,0.934425,Yes,Danish,
211,0.0,No,Danish,
212,1e-06,No,Danish,
213,1e-06,No,Danish,
214,0.031157,No,Danish,
215,0.999632,Yes,Danish,
216,1.8e-05,No,Danish,
217,0.662032,Yes,Danish,
218,1.9e-05,No,Danish,
219,0.00038,No,Danish,
220,0.0,No,Danish,
221,0.851937,Yes,Danish,
222,1e-06,No,Danish,
223,0.999995,Yes,Danish,
224,0.999988,Yes,Danish,
225,0.000111,No,Danish,
226,0.000109,No,Danish,
227,2e-06,No,Danish,
228,0.999739,Yes,Danish,
229,1.0,Yes,Danish,
230,1e-06,No,Danish,
231,0.0,No,Danish,
232,0.00027,No,Danish,
233,0.075918,No,Danish,
234,0.037877,No,Danish,
235,0.001527,No,Danish,
236,0.0,No,Danish,
237,0.999998,Yes,Danish,
238,0.999996,Yes,Danish,
239,1e-06,No,Danish,
240,1e-06,No,Danish,
241,2.2e-05,No,Danish,
242,0.994276,Yes,Danish,
243,3e-06,No,Danish,
244,0.003025,No,Danish,
245,0.000129,No,Danish,
246,0.0,No,Danish,
247,0.999901,Yes,Danish,
248,0.000857,No,Danish,
249,1.5e-05,No,Danish,
250,0.154105,No,Danish,
251,0.999999,Yes,Danish,
252,1.4e-05,No,Danish,
253,0.129389,No,Danish,
254,0.999851,Yes,Danish,
255,0.096727,No,Danish,
256,8e-06,No,Danish,
257,4.9e-05,No,Danish,
258,0.997156,Yes,Danish,
259,0.187151,No,Danish,
260,7e-06,No,Danish,
261,0.003482,No,Danish,
262,0.0,No,Danish,
263,1e-06,No,Danish,
264,0.016941,No,Danish,
265,0.592667,Yes,Danish,
266,7.5e-05,No,Danish,
267,0.987355,Yes,Danish,
268,0.89335,Yes,Danish,
269,0.0,No,Danish,
270,4.2e-05,No,Danish,
271,2e-06,No,Danish,
272,8.6e-05,No,Danish,
273,1.3e-05,No,Danish,
274,2.3e-05,No,Danish,
275,6.9e-05,No,Danish,
276,0.999301,Yes,Danish,
277,0.994276,Yes,Danish,
278,0.692642,Yes,Danish,
279,0.994691,Yes,Danish,
280,0.0,No,Danish,
281,0.798128,Yes,Danish,
282,0.999846,Yes,Danish,
283,0.02558,No,Danish,
284,0.88715,Yes,Danish,
285,0.002015,No,Danish,
286,0.449393,No,Danish,
287,0.999966,Yes,Danish,
288,0.999919,Yes,Danish,
289,0.985956,Yes,Danish,
290,2e-06,No,Danish,
291,0.015423,No,Danish,
292,0.999997,Yes,Danish,
293,0.000257,No,Danish,
294,7e-06,No,Danish,
295,0.093937,No,Danish,
296,1e-06,No,Danish,
297,0.999704,Yes,Danish,
298,1.6e-05,No,Danish,
299,0.999905,Yes,Danish,
300,0.999959,Yes,Danish,
301,0.999232,Yes,Danish,
302,3e-06,No,Danish,
303,0.000346,No,Danish,
304,0.000133,No,Danish,
305,0.001017,No,Danish,
306,4e-06,No,Danish,
307,0.0,No,Danish,
308,5e-06,No,Danish,
309,0.959759,Yes,Danish,
310,3e-06,No,Danish,
311,0.0,No,Danish,
312,0.051068,No,Danish,
313,3.5e-05,No,Danish,
314,0.999932,Yes,Danish,
315,1e-06,No,Danish,
316,0.036214,No,Danish,
317,0.061,No,Danish,
318,0.01098,No,Danish,
319,0.000245,No,Danish,
320,0.0,No,Danish,
321,2e-06,No,Danish,
322,0.000598,No,Danish,
323,0.000203,No,Danish,
324,5.1e-05,No,Danish,
325,0.0,No,Danish,
326,0.999643,Yes,Danish,
327,0.999373,Yes,Danish,
328,4e-06,No,Danish,
329,0.250913,No,Danish,
330,0.981454,Yes,Danish,
331,0.999899,Yes,Danish,
332,0.0,No,Danish,
333,0.718693,Yes,Danish,
334,0.000898,No,Danish,
335,3e-06,No,Danish,
336,0.999999,Yes,Danish,
337,0.000352,No,Danish,
338,0.0,No,Danish,
339,0.001208,No,Danish,
340,0.000151,No,Danish,
341,0.0002,No,Danish,
342,0.999976,Yes,Danish,
343,0.997884,Yes,Danish,
344,1e-06,No,Danish,
345,0.999994,Yes,Danish,
346,0.0,No,Danish,
347,0.0,No,Danish,
348,1e-06,No,Danish,
349,4.4e-05,No,Danish,
350,3e-06,No,Danish,
351,0.989685,Yes,Danish,
352,1e-06,No,Danish,
353,0.999992,Yes,Danish,
354,1e-06,No,Danish,
355,0.965912,Yes,Danish,
356,0.000156,No,Danish,
357,0.000203,No,Danish,
358,0.012638,No,Danish,
359,3e-06,No,Danish,
360,0.99683,Yes,Danish,
361,0.997158,Yes,Danish,
362,0.999999,Yes,Danish,
363,3e-06,No,Danish,
364,0.980875,Yes,Danish,
365,0.000114,No,Danish,
366,1.1e-05,No,Danish,
367,2e-06,No,Danish,
368,1e-06,No,Danish,
369,0.00012,No,Danish,
370,0.0,No,Danish,
371,0.999595,Yes,Danish,
372,0.0,No,Danish,
373,0.025981,No,Danish,
374,0.120866,No,Danish,
375,0.0,No,Danish,
376,1.0,Yes,Danish,
377,0.989358,Yes,Danish,
378,0.152017,No,Danish,
379,0.0,No,Danish,
380,0.21465,No,Danish,
381,0.000688,No,Danish,
382,2.4e-05,No,Danish,
383,0.0,No,Danish,
384,0.999569,Yes,Danish,
385,0.982316,Yes,Danish,
386,0.998323,Yes,Danish,
387,0.000571,No,Danish,
388,4e-06,No,Danish,
389,0.0,No,Danish,
390,0.011688,No,Danish,
391,3e-06,No,Danish,
392,0.177739,No,Danish,
393,5e-06,No,Danish,
394,4.6e-05,No,Danish,
395,0.0,No,Danish,
396,5.6e-05,No,Danish,
397,0.0,No,Danish,
398,0.985951,Yes,Danish,
399,0.000504,No,Danish,
400,0.002712,No,Danish,
401,0.004834,No,Danish,
402,0.999999,Yes,Danish,
403,0.0,No,Danish,
404,4e-06,No,Danish,
405,0.0,No,Danish,
406,1e-06,No,Danish,
407,2e-06,No,Danish,
408,0.0,No,Danish,
